seed,model,test_r2,test_rmse,test_nrmse,far_r2,mean_spearman,top1_agreement,mean_relative_regret,xy_readout_r2,xy_readout_p90,best_epoch
0,xy,0.36548687371407307,17.704152767548617,0.7965633222072975,-0.42781290078228684,0.6553245894405748,0.49673202614379086,0.1928831061535579,,,21
0,full,0.34441988878299146,17.99565786809956,0.809679017399493,-1.2452364325851257,0.5514115864057324,0.477124183006536,0.18926860203807253,,,5
0,latent2,0.20493675111872767,19.817811010547807,0.8916631925123254,-2.725864938787633,0.3397513705652878,0.3790849673202614,0.3402145817183989,0.5387784237316994,10.048087129073084,8
0,latent4,0.4478948198510313,16.514512344311978,0.7430378053295597,-0.3556226780522749,0.6166329083603466,0.49019607843137253,0.20087096898829437,0.9328259690670455,3.3983946251291663,11
1,xy,0.460870756802478,16.319291035741504,0.7342542088388203,-0.2603854990713028,0.7110102742372226,0.5228758169934641,0.1587225364294931,,,4
1,full,0.39185972054933205,17.33232115822485,0.7798334946965718,-1.4884181166162933,0.6086563019730098,0.5294117647058824,0.17619365036799145,,,4
1,latent2,0.2828770621680232,18.82138810001191,0.84683111529512,-2.2792583488765836,0.4256959178991113,0.31808278867102396,0.3720347358356056,0.5317997192659409,9.401063690837477,7
1,latent4,0.496432475510744,15.771888572707613,0.7096249181710406,0.025922436070667798,0.6333010560497783,0.5337690631808278,0.1929791956945137,0.9509399040426967,2.9024247443394575,22
2,xy,0.36493393165386034,17.71186516821389,0.7969103264145468,-0.5083794327097708,0.6390804922429197,0.48366013071895425,0.20164966022655592,,,34
2,full,0.3399123863191421,18.05741730742381,0.812457761167224,-1.4474599034575153,0.5897805318343236,0.4662309368191721,0.20230499492988213,,,4
2,latent2,0.29459870300666124,18.66693305287986,0.8398817160727687,-1.414784499872336,0.4761368171006011,0.43790849673202614,0.26815802873214073,0.5668703054245212,10.172990040173874,34
2,latent4,0.5231110049213414,15.34841358170795,0.6905714988896217,-0.3539817818159965,0.6316031507781977,0.5098039215686274,0.21111933796963298,0.9515207660541709,2.9927736204987894,20
