seed,model,test_r2,test_rmse,test_nrmse,far_r2,mean_spearman,top1_agreement,mean_relative_regret,xy_readout_r2,xy_readout_p90,best_epoch
0,xy,0.597117752709444,13.9905222755586,0.6347300586001549,0.2088534603079466,0.6825971644685047,0.6605977327378908,0.12701359885720992,,,124
0,full,0.6626817933060927,12.801614743047523,0.5807910180899041,0.01128185025425732,0.6184766667126048,0.6267605633802817,0.14466494455799472,,,33
0,latent2,0.6148340388713988,13.67945551991622,0.6206174031789644,0.33746130243089745,0.6162833784243893,0.5716248711782892,0.17133777857458504,0.6038428266063277,8.674210788414504,55
0,latent4,0.7220007857660967,11.621619333819094,0.5272563079128625,0.2834057779265533,0.668061936879073,0.6465132256956372,0.12860128203113116,0.970470616127463,2.2720075928003443,61
1,xy,0.5809822654713435,14.267933090792981,0.647315791966067,0.16977372181485562,0.6618093467740986,0.6473720371006527,0.1348650540890569,,,83
1,full,0.6939962515108249,12.192934340065243,0.5531760556000007,0.12331341063514234,0.6396567240267853,0.6470285125386465,0.13502882318436377,,,3
1,latent2,0.6102401861211992,13.760790766750905,0.6243074674219432,0.12519291115438214,0.5986949862568487,0.5742013053933356,0.1739764632682193,0.567849417158994,10.397171506437264,39
1,latent4,0.7175868191420514,11.713517831243939,0.5314256117820713,0.37114632486848886,0.6738475921132066,0.6566472002748196,0.1254991967256466,0.9712103714099891,2.2876550300264156,46
2,xy,0.5976849313156474,13.980670861507354,0.6342831139833005,0.18259772567527377,0.6804221558643807,0.663002404671934,0.12523228996119345,,,133
2,full,0.6910697485098555,12.25109988675166,0.5558149435649824,0.0778358229034245,0.6357243360963757,0.6463414634146342,0.13200920277179204,,,2
2,latent2,0.5613060057963128,14.599087323011743,0.6623397875740874,-0.024972527443218206,0.5561747490887026,0.5448299553418069,0.20492733389891085,0.5251839318916744,10.490449690755836,10
2,latent4,0.7301856710808106,11.449258653425415,0.5194365494641183,0.37397923107762143,0.6677851748199721,0.6454826520096187,0.1215250047665426,0.9726745199272434,2.1808022804576965,62
